coin,pearson,spearman
FARTCOIN,0.4753772766496164,0.3872796284875938
FDUSD,-0.0014570291758551957,0.12549665651319403
FET,0.43655097073830884,0.4078657099012364
FIL,0.3847602050940276,0.38219447151006075
FLOKI,0.4985494183098,0.35972480469333135
FLOW,0.1378279628790183,0.23015118024681128
FLR,0.59922239190513,0.4529262212441256
FRAX,0.06743481178389012,0.19272053977621093
FTN,-0.008723871564240052,0.03688046690451117
GALA,0.16445178356683418,0.3276633513523305
GNO,0.32450534069796494,0.5153896967971304
GRT,0.28187532511516716,0.2939954225232313
GT,0.12471672664384198,0.25477458434722244
HBAR,0.48902206255673836,0.33274331386676925
HNT,0.3869018657357196,0.3504671514755993
HYPE,0.08005788441725903,0.7498845437606927
ICP,0.35763501167822875,0.3645178593934163
IMX,0.3464107220100068,0.35284843893315343
INJ,0.37414923529698296,0.3666659912713195
IP,0.3784860747279591,0.3165042643019435
JASMY,0.47286395970843786,0.4062713663281521
JITOSOL,-0.012848779915532467,0.16526815405948844
JLP,0.0072095651945589334,0.012939346488214572
JST,0.2859673826091773,0.0762860823457186
JTO,0.43034243615322,0.3943681610835143
JUP,0.2855120965787857,0.353635135400924
KAIA,0.17841163153281178,0.3638548788351358
KAS,0.37811839334136843,0.29915712488481966
KAVA,0.25596649236183955,0.26202327761154043
KCS,0.2904000631458492,0.2506393044705216
LDO,0.5296097992334078,0.37261796097674665
LEO,0.45204962305359253,0.34692200520254113
LINK,0.38686433724679514,0.381835641816714
LSETH,0.04213382393944771,0.7346518746087773
LTC,0.5660373466299297,0.4444942095091597
LUNC,0.23968918239247136,0.29640148799471283
MANA,0.259290807892686,0.2891458249738944
MATIC,0.2706637512175609,0.3367156557320382
METH,0.06644256978765774,0.13268185979725036
MOG,0.44719914429795254,0.397707696754026
MORPHO,0.3471157761799431,0.375288824863423
MOVE,0.28126014165918467,0.29458366790976237
MSOL,0.08275502189447527,0.21145298634192322
NEAR,0.38210597700131,0.3417425261092157
NEO,0.19654253153789744,0.31663384672007294
NEXO,0.3546129172085817,0.2961506157365889
NFT,0.1572604556099684,0.20999191750469612
OHM,,
OKB,0.25935885708351564,0.18440426219130152
ONDO,0.5416529327307859,0.41032252130373187
OP,0.39355718088371233,0.3474821099804069
PAXG,0.03670877212473002,0.21705583132760534
PENDLE,0.2808794862227141,0.3486689762673005
PENGU,0.42586891560791584,0.37765554456767836
PEPE,0.4710812764783322,0.40428169584035584
PI,0.0956669786914184,0.26613940067361974
POL,0.40858508045930314,0.33374194452343725
POPCAT,0.4278917616237001,0.3882299427965285
PUMP,0.5235353333087359,0.3615788205916291
PYTH,0.3237076483668864,0.3175565966525222
PYUSD,0.34653476050154297,0.5905103143094684
QNT,0.4339814571210273,0.38072086377495806
RAY,0.2140368628522663,0.27467942912867793
REKT,0.56061186251527,0.4878442939484099
RENDER,0.36046560881408923,0.33703699116417063
RLUSD,-0.08658038474622486,-0.013813031796257353
RON,0.03953267259731177,0.06659700479200865
RSR,0.20525652095511862,0.2515068272238749
RUNE,0.10214527552798368,0.23928133408921448
S,0.33883405867228134,0.34929557930102656
SAND,0.4066962861641787,0.3654953911856662
SAROS,0.5171408965503498,0.5248543605687143
SEI,0.5058524909363227,0.38245331047420894
SHIB,0.4401520465735968,0.36029216884985554
SKY,0.25815485088691703,0.26466119295139545
SOL,0.45261235332139493,0.38322553213721056
SPX,0.38013564483632545,0.321018006016058
STETH,0.26690976306594355,0.21096853327523832
STRK,0.21379003079016504,0.2082553814185897
STX,0.3209291783216768,0.3805535691154746
SUI,0.4828395870461595,0.3931611203409673
SUN,0.1560772412196967,0.42291563817738026
SUPER,0.30388472826823926,0.2521596843820803
SYRUP,0.6287643902065462,0.4172231350534554
TAO,0.37900224016914463,0.3366375449541119
TBTC,0.027918346496171472,0.787325595411295
TEL,0.014711184607715913,0.07406679739452128
THETA,0.13133120158312114,0.2268132954881783
TIA,0.3690118450001978,0.38900560168529685
TKX,0.6383459578004076,0.5259605359581807
TON,0.27233083215012865,0.28587307676673207
TRUMP,0.46497344589698825,0.45051507771601584
TRX,0.6181028728032739,0.531745360940843
TURBO,0.47232528107581606,0.36808265577973165
TUSD,0.12902251240223112,0.12651553947616703
TWT,-0.01130920591624575,0.4523110030357226
UNI,0.5535851126454325,0.35027958226746386
USD1,-0.052529072874601124,0.020801531001903923
USDC,0.0540831796519394,0.06678974512610136
USDD,0.2262828050857234,0.5410742962286886
USDE,-0.02715916125725818,0.10174274401867583
USDF,0.08388276365356093,0.2361644630493061
USDS,-0.0003285703433268895,0.5904913564471073
USDT,0.032628276409724134,0.0238332980343894
USDX,0.6149140902868503,0.8406915907595828
USDY,0.002349463991796187,0.41753163533456644
VENOM,0.17746985678798904,0.4819574425344677
VET,0.44231779382297853,0.31650333075657394
VIRTUAL,0.3186270150399609,0.3679289563648374
W,0.21260142194612028,0.3004897861663485
WAL,0.204304764411803,0.30421269250879024
WBETH,0.11729134146499275,0.18838896294167234
WBT,0.4087476489213143,0.37705980782193343
WBTC,0.11075441660344733,0.03822308429175373
WEETH,0.0846392981161056,0.16745095901665752
WEMIX,0.5879878057836034,0.49998302465102235
WETH,,
WIF,0.5272102046852932,0.44929654408906067
WLD,0.3640437648437172,0.37454202176008133
XAUT,0.056099444659937214,0.2347481380886909
XCN,0.5071689907371392,0.40426581138978324
XDC,0.542656846287942,0.4884226491466605
XEC,0.7589458230235282,-0.006384712975147473
XLM,0.5774997466175154,0.5004587612644108
XMR,0.2771695326567523,0.2004653751261094
XRP,0.5296693430783126,0.4310414760325963
XTZ,0.5324261434438172,0.30856086215458345
ZBCN,0.12817160607831368,0.3192207634775837
ZEC,0.3975999313208643,0.25466906013799584
ZK,0.28534830008170237,0.33634448773398834
